"marker";"chrom";"loc"
"IWA1484";"IWA1484";"";NA
"IWA1485";"IWA1485";"";NA
"IWA1488";"IWA1488";"";NA
"IWA1503";"IWA1503";"";NA
"IWA1521";"IWA1521";"";NA
"IWA1529";"IWA1529";"";NA
"IWA1532";"IWA1532";"";NA
"IWA1533";"IWA1533";"";NA
"IWA1588";"IWA1588";"";NA
"IWA1593";"IWA1593";"";NA
"IWA1609";"IWA1609";"";NA
"IWA1610";"IWA1610";"";NA
"IWA1630";"IWA1630";"";NA
"IWA1641";"IWA1641";"";NA
"IWA1643";"IWA1643";"";NA
"IWA1659";"IWA1659";"";NA
"IWA1669";"IWA1669";"";NA
"IWA1672";"IWA1672";"";NA
"IWA1678";"IWA1678";"";NA
"IWA1716";"IWA1716";"";NA
"IWA1717";"IWA1717";"";NA
"IWA1728";"IWA1728";"";NA
"IWA1745";"IWA1745";"";NA
"IWA1766";"IWA1766";"";NA
"IWA1782";"IWA1782";"";NA
"IWA1803";"IWA1803";"";NA
"IWA1894";"IWA1894";"";NA
"IWA1900";"IWA1900";"";NA
"IWA1925";"IWA1925";"";NA
"IWA1926";"IWA1926";"";NA
"IWA1927";"IWA1927";"";NA
"IWA1947";"IWA1947";"";NA
"IWA1950";"IWA1950";"";NA
"IWA1972";"IWA1972";"";NA
"IWA1988";"IWA1988";"";NA
"IWA1991";"IWA1991";"";NA
"IWA1997";"IWA1997";"";NA
"IWA2009";"IWA2009";"";NA
"IWA2066";"IWA2066";"";NA
"IWA2108";"IWA2108";"";NA
"IWA2119";"IWA2119";"";NA
"IWA2162";"IWA2162";"";NA
"IWA2197";"IWA2197";"";NA
"IWA2210";"IWA2210";"";NA
"IWA2218";"IWA2218";"";NA
"IWA2301";"IWA2301";"";NA
"IWA2324";"IWA2324";"";NA
"IWA2330";"IWA2330";"";NA
"IWA2371";"IWA2371";"";NA
"IWA2373";"IWA2373";"";NA
"IWA2392";"IWA2392";"";NA
"IWA2396";"IWA2396";"";NA
"IWA2412";"IWA2412";"";NA
"IWA2462";"IWA2462";"";NA
"IWA2488";"IWA2488";"";NA
"IWA2490";"IWA2490";"";NA
"IWA2503";"IWA2503";"";NA
"IWA2560";"IWA2560";"";NA
"IWA2619";"IWA2619";"";NA
"IWA2620";"IWA2620";"";NA
"IWA2664";"IWA2664";"";NA
"IWA2694";"IWA2694";"";NA
"IWA2695";"IWA2695";"";NA
"IWA2699";"IWA2699";"";NA
"IWA2729";"IWA2729";"";NA
"IWA2732";"IWA2732";"";NA
"IWA2764";"IWA2764";"";NA
"IWA2771";"IWA2771";"";NA
"IWA2786";"IWA2786";"";NA
"IWA2802";"IWA2802";"";NA
"IWA2815";"IWA2815";"";NA
"IWA2824";"IWA2824";"";NA
"IWA2835";"IWA2835";"";NA
"IWA2862";"IWA2862";"";NA
"IWA2896";"IWA2896";"";NA
"IWA2923";"IWA2923";"";NA
"IWA2951";"IWA2951";"";NA
"IWA2952";"IWA2952";"";NA
"IWA2980";"IWA2980";"";NA
"IWA2989";"IWA2989";"";NA
"IWA2991";"IWA2991";"";NA
"IWA3010";"IWA3010";"";NA
"IWA3011";"IWA3011";"";NA
"IWA3021";"IWA3021";"";NA
"IWA3023";"IWA3023";"";NA
"IWA3024";"IWA3024";"";NA
"IWA3051";"IWA3051";"";NA
"IWA3053";"IWA3053";"";NA
"IWA3075";"IWA3075";"";NA
"IWA3093";"IWA3093";"";NA
"IWA3118";"IWA3118";"";NA
"IWA3171";"IWA3171";"";NA
"IWA3186";"IWA3186";"";NA
"IWA3204";"IWA3204";"";NA
"IWA3262";"IWA3262";"";NA
"IWA3265";"IWA3265";"";NA
"IWA3274";"IWA3274";"";NA
"IWA3275";"IWA3275";"";NA
"IWA3281";"IWA3281";"";NA
"IWA3286";"IWA3286";"";NA
"IWA3287";"IWA3287";"";NA
"IWA3342";"IWA3342";"";NA
"IWA3378";"IWA3378";"";NA
"IWA3398";"IWA3398";"";NA
"IWA3414";"IWA3414";"";NA
"IWA3464";"IWA3464";"";NA
"IWA3484";"IWA3484";"";NA
"IWA3518";"IWA3518";"";NA
"IWA3519";"IWA3519";"";NA
"IWA3576";"IWA3576";"";NA
"IWA3579";"IWA3579";"";NA
"IWA3581";"IWA3581";"";NA
"IWA3591";"IWA3591";"";NA
"IWA3592";"IWA3592";"";NA
"IWA3593";"IWA3593";"";NA
"IWA3619";"IWA3619";"";NA
"IWA3646";"IWA3646";"";NA
"IWA3714";"IWA3714";"";NA
"IWA3717";"IWA3717";"";NA
"IWA3758";"IWA3758";"";NA
"IWA3762";"IWA3762";"";NA
"IWA3776";"IWA3776";"";NA
"IWA3818";"IWA3818";"";NA
"IWA3822";"IWA3822";"";NA
"IWA3843";"IWA3843";"";NA
"IWA3904";"IWA3904";"";NA
"IWA3934";"IWA3934";"";NA
"IWA3938";"IWA3938";"";NA
"IWA3964";"IWA3964";"";NA
"IWA3973";"IWA3973";"";NA
"IWA4013";"IWA4013";"";NA
"IWA4044";"IWA4044";"";NA
"IWA4063";"IWA4063";"";NA
"IWA4072";"IWA4072";"";NA
"IWA4085";"IWA4085";"";NA
"IWA4113";"IWA4113";"";NA
"IWA4137";"IWA4137";"";NA
"IWA4152";"IWA4152";"";NA
"IWA4167";"IWA4167";"";NA
"IWA4176";"IWA4176";"";NA
"IWA4196";"IWA4196";"";NA
"IWA4218";"IWA4218";"";NA
"IWA4258";"IWA4258";"";NA
"IWA4259";"IWA4259";"";NA
"IWA4309";"IWA4309";"";NA
"IWA4311";"IWA4311";"";NA
"IWA4354";"IWA4354";"";NA
"IWA4392";"IWA4392";"";NA
"IWA4404";"IWA4404";"";NA
"IWA4433";"IWA4433";"";NA
"IWA4490";"IWA4490";"";NA
"IWA4504";"IWA4504";"";NA
"IWA4529";"IWA4529";"";NA
"IWA4545";"IWA4545";"";NA
"IWA4573";"IWA4573";"";NA
"IWA4604";"IWA4604";"";NA
"IWA4613";"IWA4613";"";NA
"IWA4618";"IWA4618";"";NA
"IWA4624";"IWA4624";"";NA
"IWA4625";"IWA4625";"";NA
"IWA4632";"IWA4632";"";NA
"IWA4643";"IWA4643";"";NA
"IWA4683";"IWA4683";"";NA
"IWA4711";"IWA4711";"";NA
"IWA4745";"IWA4745";"";NA
"IWA4829";"IWA4829";"";NA
"IWA4868";"IWA4868";"";NA
"IWA4869";"IWA4869";"";NA
"IWA4968";"IWA4968";"";NA
"IWA4978";"IWA4978";"";NA
"IWA4991";"IWA4991";"";NA
"IWA4994";"IWA4994";"";NA
"IWA5013";"IWA5013";"";NA
"IWA5019";"IWA5019";"";NA
"IWA5049";"IWA5049";"";NA
"IWA5051";"IWA5051";"";NA
"IWA5058";"IWA5058";"";NA
"IWA5063";"IWA5063";"";NA
"IWA5105";"IWA5105";"";NA
"IWA5112";"IWA5112";"";NA
"IWA5119";"IWA5119";"";NA
"IWA5130";"IWA5130";"";NA
"IWA5132";"IWA5132";"";NA
"IWA5142";"IWA5142";"";NA
"IWA5175";"IWA5175";"";NA
"IWA5184";"IWA5184";"";NA
"IWA5187";"IWA5187";"";NA
"IWA5191";"IWA5191";"";NA
"IWA5194";"IWA5194";"";NA
"IWA5236";"IWA5236";"";NA
"IWA5266";"IWA5266";"";NA
"IWA5267";"IWA5267";"";NA
"IWA5284";"IWA5284";"";NA
"IWA5298";"IWA5298";"";NA
"IWA5375";"IWA5375";"";NA
"IWA5425";"IWA5425";"";NA
"IWA5443";"IWA5443";"";NA
"IWA5460";"IWA5460";"";NA
"IWA5462";"IWA5462";"";NA
"IWA5501";"IWA5501";"";NA
"IWA5502";"IWA5502";"";NA
"IWA5503";"IWA5503";"";NA
"IWA5514";"IWA5514";"";NA
"IWA5522";"IWA5522";"";NA
"IWA5527";"IWA5527";"";NA
"IWA5555";"IWA5555";"";NA
"IWA5587";"IWA5587";"";NA
"IWA5591";"IWA5591";"";NA
"IWA5594";"IWA5594";"";NA
"IWA5618";"IWA5618";"";NA
"IWA5650";"IWA5650";"";NA
"IWA5651";"IWA5651";"";NA
"IWA5682";"IWA5682";"";NA
"IWA5683";"IWA5683";"";NA
"IWA5688";"IWA5688";"";NA
"IWA5689";"IWA5689";"";NA
"IWA5711";"IWA5711";"";NA
"IWA5774";"IWA5774";"";NA
"IWA5939";"IWA5939";"";NA
"IWA5958";"IWA5958";"";NA
"IWA5984";"IWA5984";"";NA
"IWA5985";"IWA5985";"";NA
"IWA6059";"IWA6059";"";NA
"IWA6060";"IWA6060";"";NA
"IWA6061";"IWA6061";"";NA
"IWA6085";"IWA6085";"";NA
"IWA6100";"IWA6100";"";NA
"IWA6104";"IWA6104";"";NA
"IWA6105";"IWA6105";"";NA
"IWA6147";"IWA6147";"";NA
"IWA6169";"IWA6169";"";NA
"IWA6189";"IWA6189";"";NA
"IWA6210";"IWA6210";"";NA
"IWA6221";"IWA6221";"";NA
"IWA6254";"IWA6254";"";NA
"IWA6274";"IWA6274";"";NA
"IWA6375";"IWA6375";"";NA
"IWA6397";"IWA6397";"";NA
"IWA6403";"IWA6403";"";NA
"IWA6416";"IWA6416";"";NA
"IWA6417";"IWA6417";"";NA
"IWA6645";"IWA6645";"";NA
"IWA6668";"IWA6668";"";NA
"IWA6692";"IWA6692";"";NA
"IWA6693";"IWA6693";"";NA
"IWA6702";"IWA6702";"";NA
"IWA6703";"IWA6703";"";NA
"IWA6711";"IWA6711";"";NA
"IWA6742";"IWA6742";"";NA
"IWA6778";"IWA6778";"";NA
"IWA6782";"IWA6782";"";NA
"IWA6785";"IWA6785";"";NA
"IWA6802";"IWA6802";"";NA
"IWA6806";"IWA6806";"";NA
"IWA6810";"IWA6810";"";NA
"IWA6829";"IWA6829";"";NA
"IWA6843";"IWA6843";"";NA
"IWA6881";"IWA6881";"";NA
"IWA6892";"IWA6892";"";NA
"IWA6955";"IWA6955";"";NA
"IWA6973";"IWA6973";"";NA
"IWA6981";"IWA6981";"";NA
"IWA7028";"IWA7028";"";NA
"IWA7081";"IWA7081";"";NA
"IWA7100";"IWA7100";"";NA
"IWA7110";"IWA7110";"";NA
"IWA7124";"IWA7124";"";NA
"IWA7147";"IWA7147";"";NA
"IWA7166";"IWA7166";"";NA
"IWA7193";"IWA7193";"";NA
"IWA7268";"IWA7268";"";NA
"IWA7280";"IWA7280";"";NA
"IWA7281";"IWA7281";"";NA
"IWA7299";"IWA7299";"";NA
"IWA7303";"IWA7303";"";NA
"IWA7332";"IWA7332";"";NA
"IWA7336";"IWA7336";"";NA
"IWA7395";"IWA7395";"";NA
"IWA7501";"IWA7501";"";NA
"IWA7547";"IWA7547";"";NA
"IWA7551";"IWA7551";"";NA
"IWA7555";"IWA7555";"";NA
"IWA7590";"IWA7590";"";NA
"IWA7599";"IWA7599";"";NA
"IWA7610";"IWA7610";"";NA
"IWA7669";"IWA7669";"";NA
"IWA7690";"IWA7690";"";NA
"IWA7691";"IWA7691";"";NA
"IWA7709";"IWA7709";"";NA
"IWA7742";"IWA7742";"";NA
"IWA7743";"IWA7743";"";NA
"IWA7747";"IWA7747";"";NA
"IWA7759";"IWA7759";"";NA
"IWA7775";"IWA7775";"";NA
"IWA7784";"IWA7784";"";NA
"IWA7798";"IWA7798";"";NA
"IWA7833";"IWA7833";"";NA
"IWA7834";"IWA7834";"";NA
"IWA7835";"IWA7835";"";NA
"IWA7878";"IWA7878";"";NA
"IWA7881";"IWA7881";"";NA
"IWA7888";"IWA7888";"";NA
"IWA7893";"IWA7893";"";NA
"IWA7900";"IWA7900";"";NA
"IWA7914";"IWA7914";"";NA
"IWA7915";"IWA7915";"";NA
"IWA7925";"IWA7925";"";NA
"IWA7932";"IWA7932";"";NA
"IWA7961";"IWA7961";"";NA
"IWA7999";"IWA7999";"";NA
"IWA8051";"IWA8051";"";NA
"IWA8076";"IWA8076";"";NA
"IWA8080";"IWA8080";"";NA
"IWA8086";"IWA8086";"";NA
"IWA8113";"IWA8113";"";NA
"IWA8138";"IWA8138";"";NA
"IWA8149";"IWA8149";"";NA
"IWA8172";"IWA8172";"";NA
"IWA8260";"IWA8260";"";NA
"IWA1602";"IWA1602";"1A";16730
"IWA6644";"IWA6644";"1A";16730
"IWA3182";"IWA3182";"1A";25338
"IWA5150";"IWA5150";"1A";26595
"IWA4351";"IWA4351";"1A";27071
"IWA6649";"IWA6649";"1A";27071
"IWA3635";"IWA3635";"1A";35232
"IWA4753";"IWA4753";"1A";35232
"IWA7191";"IWA7191";"1A";35232
"IWA4754";"IWA4754";"1A";35653
"IWA4644";"IWA4644";"1A";36735
"IWA4163";"IWA4163";"1A";51095
"IWA4164";"IWA4164";"1A";51943
"IWA7377";"IWA7377";"1A";51943
"IWA360";"IWA360";"1A";55179
"IWA3373";"IWA3373";"1A";56393
"IWA3374";"IWA3374";"1A";56416
"IWA164";"IWA164";"1A";66313
"IWA2656";"IWA2656";"1A";68829
"IWA2921";"IWA2921";"1A";68829
"IWA2922";"IWA2922";"1A";68829
"IWA7421";"IWA7421";"1A";69519
"IWA1307";"IWA1307";"1A";69872
"IWA1450";"IWA1450";"1A";70102
"IWA1482";"IWA1482";"1A";70102
"IWA1583";"IWA1583";"1A";70102
"IWA1811";"IWA1811";"1A";70102
"IWA1933";"IWA1933";"1A";70102
"IWA1934";"IWA1934";"1A";70102
"IWA2070";"IWA2070";"1A";70102
"IWA2248";"IWA2248";"1A";70102
"IWA2289";"IWA2289";"1A";70102
"IWA2337";"IWA2337";"1A";70102
"IWA2615";"IWA2615";"1A";70102
"IWA2849";"IWA2849";"1A";70102
"IWA2851";"IWA2851";"1A";70102
"IWA2957";"IWA2957";"1A";70102
"IWA3115";"IWA3115";"1A";70102
"IWA3147";"IWA3147";"1A";70102
"IWA3249";"IWA3249";"1A";70102
"IWA3337";"IWA3337";"1A";70102
"IWA3339";"IWA3339";"1A";70102
"IWA3346";"IWA3346";"1A";70102
"IWA3347";"IWA3347";"1A";70102
"IWA3442";"IWA3442";"1A";70102
"IWA3451";"IWA3451";"1A";70102
"IWA352";"IWA352";"1A";70102
"IWA3534";"IWA3534";"1A";70102
"IWA3538";"IWA3538";"1A";70102
"IWA3612";"IWA3612";"1A";70102
"IWA3740";"IWA3740";"1A";70102
"IWA3766";"IWA3766";"1A";70102
"IWA3898";"IWA3898";"1A";70102
"IWA3952";"IWA3952";"1A";70102
"IWA3955";"IWA3955";"1A";70102
"IWA4020";"IWA4020";"1A";70102
"IWA4061";"IWA4061";"1A";70102
"IWA4071";"IWA4071";"1A";70102
"IWA4417";"IWA4417";"1A";70102
"IWA4466";"IWA4466";"1A";70102
"IWA4508";"IWA4508";"1A";70102
"IWA4509";"IWA4509";"1A";70102
"IWA4577";"IWA4577";"1A";70102
"IWA4579";"IWA4579";"1A";70102
"IWA4591";"IWA4591";"1A";70102
"IWA4646";"IWA4646";"1A";70102
"IWA4775";"IWA4775";"1A";70102
"IWA4798";"IWA4798";"1A";70102
"IWA4834";"IWA4834";"1A";70102
"IWA4852";"IWA4852";"1A";70102
"IWA492";"IWA492";"1A";70102
"IWA5031";"IWA5031";"1A";70102
"IWA5054";"IWA5054";"1A";70102
"IWA5080";"IWA5080";"1A";70102
"IWA5084";"IWA5084";"1A";70102
"IWA5109";"IWA5109";"1A";70102
"IWA5134";"IWA5134";"1A";70102
"IWA5135";"IWA5135";"1A";70102
"IWA5226";"IWA5226";"1A";70102
"IWA5320";"IWA5320";"1A";70102
"IWA5451";"IWA5451";"1A";70102
"IWA5509";"IWA5509";"1A";70102
"IWA5631";"IWA5631";"1A";70102
"IWA5636";"IWA5636";"1A";70102
"IWA639";"IWA639";"1A";70102
"IWA6942";"IWA6942";"1A";70102
"IWA6971";"IWA6971";"1A";70102
"IWA7065";"IWA7065";"1A";70102
"IWA7413";"IWA7413";"1A";70102
"IWA7716";"IWA7716";"1A";70102
"IWA7804";"IWA7804";"1A";70102
"IWA7945";"IWA7945";"1A";70102
"IWA8035";"IWA8035";"1A";70102
"IWA8116";"IWA8116";"1A";70102
"IWA8198";"IWA8198";"1A";70102
"IWA8230";"IWA8230";"1A";70102
"IWA8255";"IWA8255";"1A";70102
"IWA8307";"IWA8307";"1A";70102
"IWA948";"IWA948";"1A";70102
"IWA1882";"IWA1882";"1A";70785
"IWA1990";"IWA1990";"1A";70785
"IWA2438";"IWA2438";"1A";70785
"IWA2651";"IWA2651";"1A";70785
"IWA4301";"IWA4301";"1A";70785
"IWA4302";"IWA4302";"1A";70785
"IWA6887";"IWA6887";"1A";70785
"IWA7505";"IWA7505";"1A";70785
"IWA7922";"IWA7922";"1A";70785
"IWA8394";"IWA8394";"1A";70785
"IWA1357";"IWA1357";"1A";70843
"IWA7715";"IWA7715";"1A";70843
"IWA2768";"IWA2768";"1A";71047
"IWA3867";"IWA3867";"1A";71047
"IWA5140";"IWA5140";"1A";71047
"IWA6636";"IWA6636";"1A";71047
"IWA1279";"IWA1279";"1A";71096
"IWA1785";"IWA1785";"1A";71096
"IWA2982";"IWA2982";"1A";71096
"IWA3160";"IWA3160";"1A";71096
"IWA3473";"IWA3473";"1A";71096
"IWA3528";"IWA3528";"1A";71096
"IWA3536";"IWA3536";"1A";71096
"IWA3695";"IWA3695";"1A";71096
"IWA3806";"IWA3806";"1A";71096
"IWA3882";"IWA3882";"1A";71096
"IWA3884";"IWA3884";"1A";71096
"IWA3957";"IWA3957";"1A";71096
"IWA42";"IWA42";"1A";71096
"IWA4265";"IWA4265";"1A";71096
"IWA4327";"IWA4327";"1A";71096
"IWA4576";"IWA4576";"1A";71096
"IWA5083";"IWA5083";"1A";71096
"IWA6044";"IWA6044";"1A";71096
"IWA6972";"IWA6972";"1A";71096
"IWA7104";"IWA7104";"1A";71096
"IWA8026";"IWA8026";"1A";71096
"IWA2630";"IWA2630";"1A";71478
"IWA3472";"IWA3472";"1A";71478
"IWA3499";"IWA3499";"1A";71478
"IWA3533";"IWA3533";"1A";71478
"IWA3956";"IWA3956";"1A";71478
"IWA4326";"IWA4326";"1A";71478
"IWA4328";"IWA4328";"1A";71478
"IWA5011";"IWA5011";"1A";71478
"IWA7021";"IWA7021";"1A";71478
"IWA2057";"IWA2057";"1A";71647
"IWA498";"IWA498";"1A";72608
"IWA3666";"IWA3666";"1A";74785
"IWA3857";"IWA3857";"1A";74785
"IWA5268";"IWA5268";"1A";74785
"IWA7862";"IWA7862";"1A";74859
"IWA2995";"IWA2995";"1A";76142
"IWA4292";"IWA4292";"1A";76142
"IWA7173";"IWA7173";"1A";76142
"IWA2152";"IWA2152";"1A";77784
"IWA268";"IWA268";"1A";77784
"IWA4126";"IWA4126";"1A";77784
"IWA6835";"IWA6835";"1A";77784
"IWA8070";"IWA8070";"1A";77784
"IWA3134";"IWA3134";"1A";78205
"IWA7577";"IWA7577";"1A";78205
"IWA1594";"IWA1594";"1A";78334
"IWA3477";"IWA3477";"1A";78334
"IWA4116";"IWA4116";"1A";78334
"IWA4117";"IWA4117";"1A";78334
"IWA4816";"IWA4816";"1A";78334
"IWA6751";"IWA6751";"1A";78334
"IWA6756";"IWA6756";"1A";78334
"IWA7898";"IWA7898";"1A";78334
"IWA3475";"IWA3475";"1A";78363
"IWA3820";"IWA3820";"1A";78363
"IWA5277";"IWA5277";"1A";78363
"IWA7644";"IWA7644";"1A";78363
"IWA2584";"IWA2584";"1A";79189
"IWA2598";"IWA2598";"1A";79189
"IWA5138";"IWA5138";"1A";79458
"IWA5692";"IWA5692";"1A";79532
"IWA6609";"IWA6609";"1A";79532
"IWA2394";"IWA2394";"1A";79591
"IWA3540";"IWA3540";"1A";79591
"IWA7956";"IWA7956";"1A";79591
"IWA4283";"IWA4283";"1A";80543
"IWA5174";"IWA5174";"1A";81540
"IWA6707";"IWA6707";"1A";81971
"IWA6708";"IWA6708";"1A";81971
"IWA7573";"IWA7573";"1A";82907
"IWA7868";"IWA7868";"1A";82907
"IWA7869";"IWA7869";"1A";82907
"IWA6553";"IWA6553";"1A";83555
"IWA560";"IWA560";"1A";83704
"IWA8101";"IWA8101";"1A";83704
"IWA5169";"IWA5169";"1A";84034
"IWA605";"IWA605";"1A";84326
"IWA4511";"IWA4511";"1A";84423
"IWA3496";"IWA3496";"1A";84630
"IWA6595";"IWA6595";"1A";84630
"IWA2703";"IWA2703";"1A";86139
"IWA3406";"IWA3406";"1A";86139
"IWA2484";"IWA2484";"1A";87457
"IWA6144";"IWA6144";"1A";87859
"IWA6729";"IWA6729";"1A";88840
"IWA2314";"IWA2314";"1A";91761
"IWA1740";"IWA1740";"1A";91998
"IWA6710";"IWA6710";"1A";91998
"IWA339";"IWA339";"1A";93610
"IWA6341";"IWA6341";"1A";93610
"IWA7144";"IWA7144";"1A";94456
"IWA7145";"IWA7145";"1A";94456
"IWA3405";"IWA3405";"1A";95201
"IWA3859";"IWA3859";"1A";95201
"IWA5493";"IWA5493";"1A";95201
"IWA6624";"IWA6624";"1A";95201
"IWA2541";"IWA2541";"1A";95554
"IWA3340";"IWA3340";"1A";95554
"IWA4080";"IWA4080";"1A";96305
"IWA530";"IWA530";"1A";96836
"IWA6934";"IWA6934";"1A";101192
"IWA7639";"IWA7639";"1A";101192
"IWA4538";"IWA4538";"1A";101642
"IWA1081";"IWA1081";"1A";102319
"IWA577";"IWA577";"1A";102918
"IWA578";"IWA578";"1A";102918
"IWA5832";"IWA5832";"1A";102918
"IWA145";"IWA145";"1A";105742
"IWA3195";"IWA3195";"1A";105742
"IWA3434";"IWA3434";"1A";105742
"IWA3435";"IWA3435";"1A";105742
"IWA3805";"IWA3805";"1A";105742
"IWA6042";"IWA6042";"1A";105742
"IWA7754";"IWA7754";"1A";105742
"IWA8482";"IWA8482";"1A";105742
"IWA3804";"IWA3804";"1A";106270
"IWA5046";"IWA5046";"1A";106633
"IWA5047";"IWA5047";"1A";107663
"IWA135";"IWA135";"1A";108058
"IWA136";"IWA136";"1A";108058
"IWA1790";"IWA1790";"1A";110678
"IWA691";"IWA691";"1A";110678
"IWA5822";"IWA5822";"1A";110917
"IWA1195";"IWA1195";"1A";111141
"IWA254";"IWA254";"1A";111406
"IWA1225";"IWA1225";"1A";111432
"IWA5754";"IWA5754";"1A";111552
"IWA735";"IWA735";"1A";113194
"IWA1118";"IWA1118";"1A";113770
"IWA3486";"IWA3486";"1A";113770
"IWA4523";"IWA4523";"1A";113770
"IWA1015";"IWA1015";"1A";115390
"IWA1837";"IWA1837";"1A";115390
"IWA2404";"IWA2404";"1A";115390
"IWA2783";"IWA2783";"1A";115390
"IWA672";"IWA672";"1A";115390
"IWA6253";"IWA6253";"1A";115723
"IWA5505";"IWA5505";"1A";118272
"IWA475";"IWA475";"1A";118829
"IWA7428";"IWA7428";"1A";125170
"IWA7707";"IWA7707";"1A";127732
"IWA4713";"IWA4713";"1A";131557
"IWA1368";"IWA1368";"1A";133153
"IWA8135";"IWA8135";"1A";133153
"IWA6152";"IWA6152";"1A";134630
"IWA2317";"IWA2317";"1A";137120
"IWA3377";"IWA3377";"1A";137120
"IWA4897";"IWA4897";"1A";137205
"IWA4898";"IWA4898";"1A";137205
"IWA6530";"IWA6530";"1A";137205
"IWA1560";"IWA1560";"1A";139744
"IWA2035";"IWA2035";"1A";139744
"IWA3089";"IWA3089";"1A";139744
"IWA4021";"IWA4021";"1A";139744
"IWA2994";"IWA2994";"1A";139919
"IWA5491";"IWA5491";"1A";139919
"IWA1557";"IWA1557";"1A";140929
"IWA6458";"IWA6458";"1A";140929
"IWA1558";"IWA1558";"1A";141531
"IWA5660";"IWA5660";"1A";141531
"IWA6312";"IWA6312";"1A";141531
"IWA2015";"IWA2015";"1A";142309
"IWA3590";"IWA3590";"1A";142309
"IWA5097";"IWA5097";"1A";142309
"IWA4518";"IWA4518";"1A";148656
"IWA5407";"IWA5407";"1A";151224
"IWA693";"IWA693";"1A";152474
"IWA6916";"IWA6916";"1A";153197
"IWA1644";"IWA1644";"1A";154554
"IWA3661";"IWA3661";"1A";155800
"IWA3977";"IWA3977";"1A";155800
"IWA4120";"IWA4120";"1A";155800
"IWA4121";"IWA4121";"1A";155800
"IWA61";"IWA61";"1B";29674
"IWA5370";"IWA5370";"1B";31040
"IWA406";"IWA406";"1B";41213
"IWA4679";"IWA4679";"1B";43858
"IWA5301";"IWA5301";"1B";43858
"IWA6610";"IWA6610";"1B";43858
"IWA7331";"IWA7331";"1B";43858
"IWA1883";"IWA1883";"1B";47241
"IWA3443";"IWA3443";"1B";56881
"IWA1949";"IWA1949";"1B";57309
"IWA2578";"IWA2578";"1B";57596
"IWA6450";"IWA6450";"1B";57596
"IWA7480";"IWA7480";"1B";57596
"IWA1578";"IWA1578";"1B";60624
"IWA2998";"IWA2998";"1B";60624
"IWA6259";"IWA6259";"1B";60624
"IWA403";"IWA403";"1B";62316
"IWA1566";"IWA1566";"1B";62580
"IWA2345";"IWA2345";"1B";62580
"IWA8199";"IWA8199";"1B";62580
"IWA6290";"IWA6290";"1B";62638
"IWA6062";"IWA6062";"1B";62839
"IWA1451";"IWA1451";"1B";64099
"IWA5592";"IWA5592";"1B";64099
"IWA7504";"IWA7504";"1B";64099
"IWA8392";"IWA8392";"1B";64099
"IWA131";"IWA131";"1B";64316
"IWA962";"IWA962";"1B";64316
"IWA7934";"IWA7934";"1B";64460
"IWA1302";"IWA1302";"1B";64891
"IWA1884";"IWA1884";"1B";64891
"IWA1885";"IWA1885";"1B";64891
"IWA2073";"IWA2073";"1B";64891
"IWA2655";"IWA2655";"1B";64891
"IWA3295";"IWA3295";"1B";64891
"IWA3620";"IWA3620";"1B";64891
"IWA3631";"IWA3631";"1B";64891
"IWA4389";"IWA4389";"1B";64891
